"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
8.1,0.05572,0.07193,0.08556,0.10115,0.11833,0.13467,0.198168,0.439362,,0.884246,0.12225,,0.868974,0.116658
8.2,0.05705,0.07355,0.08742,0.10327,0.12074,0.1373,0.202752,0.451682,,0.888521,0.1246,,0.874497,0.11943
8.3,0.05839,0.07519,0.08931,0.10542,0.12316,0.13996,0.207752,0.462322,,0.892712,0.12705,,0.879885,0.122317
8.4,0.05974,0.07685,0.09121,0.10758,0.1256,0.14264,0.213168,0.471641,,0.896819,0.1296,,0.885139,0.12532
8.5,0.06112,0.07853,0.09314,0.10977,0.12807,0.14535,0.219,0.480001,,0.900844,0.13225,,0.890259,0.128437
8.6,0.0625,0.08022,0.09508,0.11198,0.13057,0.14808,0.225232,0.489038,,0.904785,0.135,,0.895244,0.13167
8.7,0.06391,0.08194,0.09704,0.11421,0.13308,0.15083,0.231848,0.497518,,0.908643,0.13785,,0.900095,0.135017
8.8,0.06533,0.08367,0.09903,0.11646,0.13562,0.15361,0.238848,0.505478,,0.912418,0.1408,,0.904812,0.13848
8.9,0.06676,0.08542,0.10103,0.11874,0.13818,0.15641,0.246232,0.512958,,0.91611,0.14385,,0.909394,0.142057
9,0.06821,0.08718,0.10305,0.12103,0.14076,0.15924,0.254,0.519998,,0.919718,0.147,,0.913842,0.14575
9.1,0.07078,0.09012,0.10628,0.12455,0.14459,0.16327,0.262328,0.526573,,0.923243,0.1502,,0.918156,0.149557
9.2,0.07338,0.0931,0.10956,0.12812,0.14846,0.16735,0.271392,0.532805,,0.926685,0.1534,,0.922335,0.15348
9.3,0.07603,0.09612,0.11289,0.13174,0.15239,0.17148,0.281192,0.538749,,0.930044,0.1566,,0.92638,0.157517
9.4,0.07872,0.09919,0.11626,0.1354,0.15636,0.17566,0.291728,0.544462,,0.933319,0.1598,,0.930291,0.16167
9.5,0.08144,0.10229,0.11967,0.13911,0.16038,0.1799,0.303,0.549998,,0.936511,0.163,,0.934067,0.165937
9.6,0.08421,0.10545,0.12314,0.14287,0.16446,0.18418,0.319424,0.55564,,0.93962,0.16628,,0.937709,0.17032
